vVirusNameCorrected,hHostNameFinal,WildDomInReference,DetectionMethod,DetectionQuality,Reference
Andes_virus,Abrothrix_longipilis,wild,PCR,2,Medina et al. 2009
Andes_virus,Abrothrix_olivaceus,wild,Antibodies,0,Sosa-Estani et al. 2002
Andes_virus,Abrothrix_sanborni,wild,Antibodies,0,Padula et al. 2004
African_horse_sickness_virus,Acinonyx_jubatus,wild,bcELISA,0,Alexander et al. 1995
Bluetongue_virus,Acinonyx_jubatus,wild,Antibodies,0,"Alexander, MacLachlan et al. 1994"
Feline_astrovirus,Acinonyx_jubatus,wild,PCR,2,Atkins at al. 2009
Feline_calicivirus,Acinonyx_jubatus,wild,Antibodies,0,Munson et al. 2004
Feline_coronavirus,Acinonyx_jubatus,wild,Antibodies,0,Hofmann-Lehmann et al. 1996
Rabies_virus,Acinonyx_jubatus,wild,Antibodies,0,Thalwitzer et al. 2010
Akabane_virus,Aepyceros_melampus,wild,Antibodies,0,Davies et al. 1985
Alcelaphine_herpesvirus_2,Aepyceros_melampus,wild,Antibodies,0,Reid et al. 1973
Bluetongue_virus,Aepyceros_melampus,wild,Antibodies,0,Karesh et al. 1997
Bovine_viral_diarrhea_virus_1,Aepyceros_melampus,wild,SNT,1,Hamblin and Hedger 1979
Crimean-Congo_hemorrhagic_fever_virus,Aepyceros_melampus,wild,Antibodies,0,Shepherd et al. 1987
Foot-and-mouth_disease_virus,Aepyceros_melampus,wild,Antibodies,0,Hamblin et al. 1990
Lumpy_skin_disease_virus,Aepyceros_melampus,wild,Antibodies,0,Hedger et al. 1983
Rift_Valley_fever_virus,Aepyceros_melampus,wild,Antibodies,0,Anderson & Rowe 1998; Capobianco Dondona 2016
Rinderpest_virus,Aepyceros_melampus,wild,Antibodies,0,Rutebarika et al. 2005
Witwatersrand_virus,Aethomys_kaiseri,wild,Antibodies,0,Henderson et al. 1972
Crimean-Congo_hemorrhagic_fever_virus,Aethomys_namaquensis,wild,Antibodies,0,Shepherd et al. 1987
Rift_Valley_fever_virus,Aethomys_namaquensis,wild,Antibodies,0,Pretorius et al. 1997
Andes_virus,Akodon_azarae,wild,IFA,0,Chu et al. 2003
Junin_virus,Akodon_azarae,wild,Isolation,2,Gonzalez et al. 2007
Pixuna_virus,Akodon_azarae,NA,Isolation,2,Pisano et al. 2014
Andes_virus,Akodon_montensis,wild,PCR,2,Chu et al. 2003
St._Louis_encephalitis_virus,Akodon_montensis,wild,Isolation,2,NA
Andes_virus,Akodon_paranaensis,wild,Antibodies,0,de Oliveira et al. 2011
Laguna_Negra_virus,Akodon_simulator,wild,PCR,2,Levis et al. 2004
Andes_virus,Akodon_varius,wild,Antibodies,0,Sosa-Estani et al. 2002
Akabane_virus,Alcelaphus_buselaphus,wild,Antibodies,0,Davies et al. 1985
Alcelaphine_herpesvirus_2,Alcelaphus_buselaphus,wild,Isolation,2,Reid et al. 1973
Bluetongue_virus,Alcelaphus_buselaphus,wild,Antibodies,0,Hamblin et al.
Bovine_viral_diarrhea_virus_1,Alcelaphus_buselaphus,wild,SNT,1,Hamblin & Hedger 1979
Crimean-Congo_hemorrhagic_fever_virus,Alcelaphus_buselaphus,wild,Antibodies,0,Shepherd et al. 1987
Foot-and-mouth_disease_virus,Alcelaphus_buselaphus,wild,Antibodies,0,"Ayebazibwe et al. 2010a; From Weaver & Karesh 2013"
Ovine_herpesvirus_2,Alcelaphus_buselaphus,wild,VNT,1,Reid et al. 1975
Bovine_herpesvirus_1,Alces_alces,domestic,VNT,1,Kocan et al. 1986
Bovine_viral_diarrhea_virus_1,Alces_alces,wild,Antibodies,0,Thorsen and Henderson 1971
European_elk_papillomavirus,Alces_alces,wild,Isolation,2,Moreno-Lopez et al. 1986
Ovine_herpesvirus_2,Alces_alces,wild,PCR,2,Vikoren et al. 2006
St._Louis_encephalitis_virus,Alces_alces,domestic,Antibodies,0,Trainer et al. 1971
Simian_foamy_virus,Allenopithecus_nigroviridis,wild,PCR,2,Schweizer et al. 1995
Rabies_virus,Alopex_lagopus,wild,PCR,2,Kuzmin et al. 2004
St._Louis_encephalitis_virus,Alouatta_caraya,wild,Antibodies,0,Contigiani al. 2000
Una_virus,Alouatta_caraya,wild,Antibodies,0,Diaz et al. 2003
Yellow_fever_virus,Alouatta_caraya,wild,Antibodies,0,Vasconcelos et al. 2003
Vesicular_stomatitis_Indiana_virus,Alouatta_palliata,wild,Antibodies,0,Nisbett 2003
Yellow_fever_virus,Alouatta_palliata,wild,Antibodies,0,Galindo & Srihongse 1967
St._Louis_encephalitis_virus,Alouatta_pigra,wild,Antibodies,0,Seymour et al. 1989
Vesicular_stomatitis_Indiana_virus,Alouatta_pigra,wild,plaque reduction neutralization,1,Tesh et al. 1969
Mayaro_virus,Alouatta_seniculus,wild,Antibodies,0,de Thoisy et al. 2003
Modoc_virus,Ammospermophilus_nelsoni,wild,Antibodies,0,Hardy et al. 1974
St._Louis_encephalitis_virus,Ammospermophilus_nelsoni,wild,Antibodies,0,Hardy et al. 1974
Western_equine_encephalitis_virus,Ammospermophilus_nelsoni,wild,Isolation,2,Hardy et al. 1974
Bluetongue_virus,Ammotragus_lervia,wild,Antibodies,0,Ruiz-Fons et al. 2008
Bovine_herpesvirus_1,Ammotragus_lervia,wild,CF,0,Hampy et al. 1979
Bimiti_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Catu_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Dengue_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Guama_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Ilheus_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Rio_Bravo_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
St._Louis_encephalitis_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Tamana_bat_virus,Anoura_geoffroyi,wild,Antibodies,0,Price 1978
Bovine_viral_diarrhea_virus_1,Antidorcas_marsupialis,wild,SNT,1,Hamblin and Hedger 1979
Crimean-Congo_hemorrhagic_fever_virus,Antidorcas_marsupialis,wild,Antibodies,0,Shepherd et al. 1987
